url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Trichopodus-pectoralis.html	Trichopodus pectoralis Regan,  1910	Snakeskin gourami	Potential pest 	Least Concern 	LC	commercial	commercial	NA	NA	NA	Freshwater	benthopelagic	potamodromous	4	NA	Tropical	500.00 g	NA
https://www.fishbase.se/summary/Channa-lucius.html	Channa lucius (Cuvier,  1831)	NA	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Freshwater	benthopelagic	potamodromous	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Channa-striata.html	Channa striata (Bloch,  1793)	Striped snakehead	Potential pest 	Least Concern 	LC	highly commercial	commercial	NA	NA	public aquariums	Freshwater;brackish	benthopelagic	potamodromous	1	10	Tropical	3.0 kg	NA
https://www.fishbase.se/summary/Channa-melasoma.html	Channa melasoma (Bleeker,  1851)	Black snakehead	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Maccullochella-peelii.html	Maccullochella peelii (Mitchell,  1838)	Murray cod	Harmless	Critically Endangered 	CR	commercial	commercial	yes	NA	NA	Freshwater	demersal	potamodromous	NA	5	Temperate	113.5 kg	48 years
https://www.fishbase.se/summary/Gadopsis-marmoratus.html	Gadopsis marmoratus Richardson,  1848	River blackfish	Harmless	Not Evaluated	NA	subsistence fisheries	NA	yes	NA	public aquariums	Freshwater	benthopelagic	NA	NA	NA	Temperate	NA	NA
https://www.fishbase.se/summary/Percichthys-trucha.html	Percichthys trucha (Valenciennes,  1833)	Creole perch	Harmless	Not Evaluated	NA	commercial	NA	yes	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Subtropical	NA	NA
https://www.fishbase.se/summary/Percilia-irwini.html	Percilia irwini Eigenmann,  1928	NA	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Temperate	NA	4 years
https://www.fishbase.se/summary/Macquaria-ambigua.html	Macquaria ambigua (Richardson,  1845)	Golden perch	Harmless	Not Evaluated	NA	commercial	commercial	yes	NA	NA	Freshwater	demersal	potamodromous	10	NA	Temperate	24.0 kg	20 years
https://www.fishbase.se/summary/Nannoperca-australis.html	Nannoperca australis Günther,  1861	Southern pygmy perch	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Temperate	NA	NA
https://www.fishbase.se/summary/Coreoperca-whiteheadi.html	Coreoperca whiteheadi Boulenger,  1900	NA	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater;brackish	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Siniperca-chuatsi.html	Siniperca chuatsi (Basilewsky,  1855)	Mandarin fish	Harmless	Not Evaluated	NA	commercial	commercial	NA	NA	NA	Freshwater	benthopelagic	NA	10	NA	Temperate	8.0 kg	9 years
https://www.fishbase.se/summary/Siniperca-scherzeri.html	Siniperca scherzeri Steindachner,  1892	Leopard mandarin fish	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Freshwater;brackish	benthopelagic	NA	NA	NA	Temperate	607.30 g	NA
https://www.fishbase.se/summary/Enoplosus-armatus.html	Enoplosus armatus (White,  1790)	Old wife	Harmless 	Not Evaluated	NA	minor commercial	NA	NA	NA	commercial	Marine;brackish	reef-associated	NA	NA	90	Temperate	NA	NA
https://www.fishbase.se/summary/Elassoma-okefenokee.html	Elassoma okefenokee Böhlke,  1956	Okefenokee pygmy sunfish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Temperate	NA	NA
